Fund name,Fund type,Total assets,Number of MySuper products authorised,Total number of member accounts,Average member account balance,Proportion of total assets in default or MySuper strategy,One-year rate of return,Five-year rate of return,Ten-year rate of return,Operating expense ratio,Investment expenses ratio
legalsuper,Industry,3379568e3,1,43587,76,48.3280703332497,10.5,9.855,4.075,0.39915925547113174,0.06602634301026239
LGIAsuper,Public sector,11030169e3,1,83670,124,59.08623884185275,8.9,8.884,5.082,0.24271842161901555,0.3677059027996146
Lifefocus Superannuation Fund,Retail,464122e3,NA,4085,112,0,6.2,5.74,-1.38,0.8765797009153439,0.6896806333340255
Local Authorities Superannuation Fund,Public sector,8686019e3,1,101788,81,40.67096790831335,10.4,8.719000000000001,4.324999999999999,0.24848332173082358,0.01230549672608003
Local Government Super,Public sector,10547168e3,1,90116,115,31.293698934159387,9.4,8.882,3.016,0.3514154912521456,0.13069467826980052
Lutheran Super,Corporate,52365e4,1,6921,74,45.01900124128712,9,8.661000000000001,4.352,0.4245198253718248,0.031077895582499127
Macquarie ADF Superannuation Fund,Retail,237184e3,NA,5388,44,0,0.6,1.1119999999999999,2.105,0.003176796677070676,0.005559394184873683
Macquarie Superannuation Plan,Retail,17594186e3,NA,87241,201,0,7.6,7.918,2.919,0.4816484402861051,0.03183517097913067
Macquarie University Professorial Superannuation Scheme,Retail,13626e3,NA,24,529,0,9.6,6.332,1.8679999999999999,1.5158546017014694,0.4872389791183295
Map Superannuation Plan,Retail,476991e3,NA,4994,94,0,6.4,6.3839999999999995,2.147,0.8212161965858025,0
Maritime Super,Industry,5293702e3,1,27675,183,16.54386117692307,9.700000000000001,8.667,4.37,0.3821030409496774,0.4187594327821803
Mars Australia Retirement Plan,Corporate,635076e3,NA,2422,229,0,7.000000000000001,10.327,4.920999999999999,0.18782221078089328,0.04979236246130084
Max Super Fund,Retail,95552e3,1,3500,27,21.715924313462825,7.7,9.754,2.738,1.5638381883501842,0.08341953351796857
Meat Industry Employees Superannuation Fund,Industry,798166e3,1,24048,32,93.19590160442816,9.2,9.207,4.578,0.29376922232758645,0.44234216235533136
Media Super,Industry,5113588e3,1,84137,59,68.08121811925403,10.5,9.374,4.1579999999999995,0.4574921204050226,0.26894683676277703
Mercer Portfolio Service Superannuation Plan,Retail,2090052e3,NA,6775,307,0,6.6000000000000005,7.3709999999999996,3.228,0.7638582731976704,0
Mercer Super Trust,Retail,22584091e3,4,223500,98,41.50069179228865,9.1,8.824,3.6790000000000003,0.16184245270577421,0.30838332890262393
Mercy Super,Corporate,1175474e3,1,13129,86,70.94244534545213,11.4,9.876,4.536,0.4995980133447832,0.1702819383776953
Military Superannuation & Benefits Fund No 1,Public sector,43573487e3,NA,178262,NA,0,9.6,9.616,3.6510000000000002,0,0
